===========
Running with N=552
===== Running with N=552 =====
On iteration 0 error= 2.141589
On iteration 20 error= 2.012443
On iteration 40 error= 1.886034
On iteration 60 error= 1.762857
On iteration 80 error= 1.643350
On iteration 100 error= 1.527853
On iteration 120 error= 1.416630
On iteration 140 error= 1.309860
On iteration 160 error= 1.207660
On iteration 180 error= 1.110077
On iteration 200 error= 1.017105
On iteration 220 error= 0.928689
On iteration 240 error= 0.844736
On iteration 260 error= 0.765140
On iteration 280 error= 0.691434
On iteration 300 error= 0.622524
On iteration 320 error= 0.558455
On iteration 340 error= 0.500267
On iteration 360 error= 0.447424
On iteration 380 error= 0.399298
On iteration 400 error= 0.355422
On iteration 420 error= 0.315411
On iteration 440 error= 0.278940
On iteration 460 error= 0.245723
On iteration 480 error= 0.215513
On iteration 500 error= 0.188085
On iteration 520 error= 0.163242
On iteration 540 error= 0.140796
On iteration 560 error= 0.120583
On iteration 580 error= 0.102444
On iteration 600 error= 0.086238
On iteration 620 error= 0.071830
On iteration 640 error= 0.059158
On iteration 660 error= 0.048281
On iteration 680 error= 0.039009
On iteration 700 error= 0.031174
On iteration 720 error= 0.024614
On iteration 740 error= 0.019175
On iteration 760 error= 0.015043
On iteration 780 error= 0.012387
On iteration 800 error= 0.010162
On iteration 820 error= 0.008329
On iteration 840 error= 0.006846
On iteration 860 error= 0.005879
On iteration 880 error= 0.005225
On iteration 900 error= 0.004617
On iteration 920 error= 0.004064
On iteration 940 error= 0.003574
On iteration 960 error= 0.003143
On iteration 980 error= 0.002776
On iteration 1000 error= 0.002382
On iteration 1020 error= 0.001964
On iteration 1040 error= 0.001549
On iteration 1060 error= 0.001164
On iteration 1080 error= 0.000845
Omega = 1.98866146930543008509
Convergence in 1080 iterations for 552x552 grid with tolerance 0.001000.
Total iteration to converge = 1080 
Total time elapsed to converge = 6.252627 
===========
===========
Running with N=652
===== Running with N=652 =====
On iteration 0 error= 2.141593
On iteration 20 error= 2.032166
On iteration 40 error= 1.924636
On iteration 60 error= 1.819306
On iteration 80 error= 1.716471
On iteration 100 error= 1.616365
On iteration 120 error= 1.519179
On iteration 140 error= 1.425059
On iteration 160 error= 1.334125
On iteration 180 error= 1.246447
On iteration 200 error= 1.162065
On iteration 220 error= 1.080990
On iteration 240 error= 1.003208
On iteration 260 error= 0.928684
On iteration 280 error= 0.857357
On iteration 300 error= 0.789161
On iteration 320 error= 0.724893
On iteration 340 error= 0.664257
On iteration 360 error= 0.607153
On iteration 380 error= 0.553649
On iteration 400 error= 0.504392
On iteration 420 error= 0.459017
On iteration 440 error= 0.417123
On iteration 460 error= 0.378389
On iteration 480 error= 0.342563
On iteration 500 error= 0.309428
On iteration 520 error= 0.278795
On iteration 540 error= 0.250489
On iteration 560 error= 0.224365
On iteration 580 error= 0.200280
On iteration 600 error= 0.178109
On iteration 620 error= 0.157734
On iteration 640 error= 0.139050
On iteration 660 error= 0.121953
On iteration 680 error= 0.106351
On iteration 700 error= 0.092156
On iteration 720 error= 0.079283
On iteration 740 error= 0.067657
On iteration 760 error= 0.057297
On iteration 780 error= 0.048213
On iteration 800 error= 0.040277
On iteration 820 error= 0.033388
On iteration 840 error= 0.027446
On iteration 860 error= 0.022355
On iteration 880 error= 0.018027
On iteration 900 error= 0.014851
On iteration 920 error= 0.012601
On iteration 940 error= 0.010662
On iteration 960 error= 0.009010
On iteration 980 error= 0.007621
On iteration 1000 error= 0.006468
On iteration 1020 error= 0.005770
On iteration 1040 error= 0.005220
On iteration 1060 error= 0.004702
On iteration 1080 error= 0.004223
On iteration 1100 error= 0.003789
On iteration 1120 error= 0.003398
On iteration 1140 error= 0.003050
On iteration 1160 error= 0.002745
On iteration 1180 error= 0.002411
On iteration 1200 error= 0.002059
On iteration 1220 error= 0.001705
On iteration 1240 error= 0.001364
On iteration 1260 error= 0.001058
On iteration 1280 error= 0.000799
Omega = 1.99039479967724886045
Convergence in 1280 iterations for 652x652 grid with tolerance 0.001000.
Total iteration to converge = 1280 
Total time elapsed to converge = 10.382226 
===========
